Ville;Région;Pays;Zone géographique;ID Zone Géo
Thiais;Île-de-France;France;Centre;2
Chaville;Île-de-France;France;Centre;2
Taverny;Île-de-France;France;Centre;2
Viroflay;Île-de-France;France;Centre;2
Paris;Île-de-France;France;Centre;2
Pantin;Île-de-France;France;Centre;2
Houilles;Île-de-France;France;Centre;2
Vitry-sur-Seine;Île-de-France;France;Centre;2
Villiers-le-Bel;Île-de-France;France;Centre;2
Pontault-Combault;Île-de-France;France;Centre;2
Mantes-la-Jolie;Île-de-France;France;Centre;2
Vigneux-sur-Seine;Île-de-France;France;Centre;2
Fontenay-aux-Roses;Île-de-France;France;Centre;2
Deuil-la-Barre;Île-de-France;France;Centre;2
Chilly-Mazarin;Île-de-France;France;Centre;2
Antony;Île-de-France;France;Centre;2
Drancy;Île-de-France;France;Centre;2
Issy-les-Moulineaux;Île-de-France;France;Centre;2
Coulommiers;Île-de-France;France;Centre;2
Évry;Île-de-France;France;Centre;2
Aulnay-sous-Bois;Île-de-France;France;Centre;2
Ermont;Île-de-France;France;Centre;2
Montfermeil;Île-de-France;France;Centre;2
Champigny-sur-Marne;Île-de-France;France;Centre;2
Palaiseau;Île-de-France;France;Centre;2
Livry-Gargan;Île-de-France;France;Centre;2
Levallois-Perret;Île-de-France;France;Centre;2
Bezons;Île-de-France;France;Centre;2
Vincennes;Île-de-France;France;Centre;2
Sarcelles;Île-de-France;France;Centre;2
Moissy-Cramayel;Île-de-France;France;Centre;2
Argenteuil;Île-de-France;France;Centre;2
Les Lilas;Île-de-France;France;Centre;2
Saint-Ouen;Île-de-France;France;Centre;2
Cergy;Île-de-France;France;Centre;2
Osny;Île-de-France;France;Centre;2
Neuilly-sur-Seine;Île-de-France;France;Centre;2
Cormeilles-en-Parisis;Île-de-France;France;Centre;2
Nanterre;Île-de-France;France;Centre;2
Domont;Île-de-France;France;Centre;2
Conflans-Sainte-Honorine;Île-de-France;France;Centre;2
Sevran;Île-de-France;France;Centre;2
Montesson;Île-de-France;France;Centre;2
Saint-Cloud;Île-de-France;France;Centre;2
Le Plessis-Robinson;Île-de-France;France;Centre;2
Saint-Denis;Île-de-France;France;Centre;2
Yerres;Île-de-France;France;Centre;2
Boulogne-Billancourt;Île-de-France;France;Centre;2
Guyancourt;Île-de-France;France;Centre;2
Aubervilliers;Île-de-France;France;Centre;2
Alfortville;Île-de-France;France;Centre;2
Massy;Île-de-France;France;Centre;2
Le Chesnay;Île-de-France;France;Centre;2
Pontoise;Île-de-France;France;Centre;2
Garches;Île-de-France;France;Centre;2
Trappes;Île-de-France;France;Centre;2
Versailles;Île-de-France;France;Centre;2
Bobigny;Île-de-France;France;Centre;2
Montreuil;Île-de-France;France;Centre;2
Clamart;Île-de-France;France;Centre;2
Pierrefitte-sur-Seine;Île-de-France;France;Centre;2
Noisy-le-Sec;Île-de-France;France;Centre;2
Maisons-Laffitte;Île-de-France;France;Centre;2
Courbevoie;Île-de-France;France;Centre;2
Mitry-Mory;Île-de-France;France;Centre;2
Longjumeau;Île-de-France;France;Centre;2
Sceaux;Île-de-France;France;Centre;2
Gennevilliers;Île-de-France;France;Centre;2
Bagneux;Île-de-France;France;Centre;2
Villemomble;Île-de-France;France;Centre;2
Montmorency;Île-de-France;France;Centre;2
Avon;Île-de-France;France;Centre;2
Bagnolet;Île-de-France;France;Centre;2
Mantes-la-Ville;Île-de-France;France;Centre;2
